Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
18 1038.00 1142.95 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.755194
21 2000.00 830.05 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
31 7000.00 909.45 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
32 7000.00 904.55 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
14 500.00 1134.15 104.874688 54.7034 1.49702 16.0096 1.19301 0 6.08679 3.28011 6.48393 4.30991 1.23957 0 5.05365
15 3000.00 955.15 100.018091 64.1884 0.259953 20.5663 0.181562 0 0.926332 0.229958 2.41956 3.79931 7.37867 0 0
33 7000.00 909.55 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
30 1500.00 1046.55 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
29 1.01 1163.45 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 04 0 7.59364
22 2000.00 835.05 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
35 7000.00 909.65 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
31 1500.00 1051.55 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
15 500.00 1131.15 104.874689 54.7034 1.49702 16.0096 1.19301 0 6.08679 3.28011 6.48393 4.30991 1.23957 0 5.05365
23 2000.00 830.15 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
36 7000.00 904.75 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
32 1500.00 1046.65 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
19 1038.00 1147.95 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
24 2000.00 835.15 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
37 7000.00 909.75 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
20 1038.00 1143.05 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
31 1.01 1163.55 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0 0 3.02264
38 7000.00 904.85 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
21 1038.00 1148.05 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
16 500.00 1128.15 104.874691 54.7034 1.49702 16.0096 1.19301 0 6.08679 3.28011 6.48393 4.30991 1.23957 0 5.05365
34 1500.00 1046.75 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.022644
22 1038.00 1143.15 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
