System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
39 1000.00 1286.00 100.000000 1.0000000000000000 1.000000 -1180158.637869 284.460140 38.172609 149.294663 -227.441251 3140.626378 -7.007 -7.007 2.619680 0.000000 1.728 n/a n/a
39 3500.00 1286.00 100.000000 1.0000000000000000 1.000000 -1171914.831657 283.671542 37.619262 149.294663 -215.235630 3168.154400 -6.770 -6.770 2.658213 0.000000 1.728 n/a n/a
40 1000.00 1283.00 100.000000 1.0000000000000000 1.000000 -1180606.520517 284.172602 38.163187 149.293769 -227.474284 3140.626378 -7.039 -7.039 2.620326 0.000000 1.739 n/a n/a
40 3500.00 1283.00 100.000000 1.0000000000000000 1.000000 -1172362.714305 283.384005 37.609758 149.293769 -215.268663 3168.154400 -6.802 -6.802 2.658884 0.000000 1.739 n/a n/a
41 1000.00 1280.00 100.000000 1.0000000000000000 1.000000 -1181054.400480 283.884512 38.153765 149.292873 -227.507318 3140.626378 -7.072 -7.072 2.620973 0.000000 1.750 n/a n/a
41 3500.00 1280.00 100.000000 1.0000000000000000 1.000000 -1172810.594268 283.095914 37.600253 149.292873 -215.301697 3168.154400 -6.835 -6.835 2.659557 0.000000 1.750 n/a n/a
40 2000.00 1283.00 100.000000 1.0000000000000000 1.000000 -1177291.079526 283.857989 37.938153 149.293769 -222.592036 3151.637587 -6.944 -6.944 2.635869 0.000000 1.739 n/a n/a
42 5000.00 1277.00 100.000000 1.0000000000000000 1.000000 -1168382.397167 282.330806 37.273239 149.291976 -208.011358 3184.671214 -6.728 -6.728 2.682890 0.000000 1.762 n/a n/a
42 3500.00 1277.00 100.000000 1.0000000000000000 1.000000 -1173258.471542 282.807268 37.590749 149.291976 -215.334731 3168.154400 -6.867 -6.867 2.660229 0.000000 1.762 n/a n/a
41 2000.00 1280.00 100.000000 1.0000000000000000 1.000000 -1177738.959489 283.569899 37.928699 149.292873 -222.625070 3151.637587 -6.976 -6.976 2.636526 0.000000 1.750 n/a n/a
43 5000.00 1274.00 100.000000 1.0000000000000000 1.000000 -1168830.271750 282.041603 37.263685 149.291079 -208.044392 3184.671214 -6.760 -6.760 2.683578 0.000000 1.773 n/a n/a
43 3500.00 1274.00 100.000000 1.0000000000000000 1.000000 -1173706.346125 282.518065 37.581245 149.291079 -215.367764 3168.154400 -6.900 -6.900 2.660902 0.000000 1.773 n/a n/a
42 2000.00 1277.00 100.000000 1.0000000000000000 1.000000 -1178186.836763 283.281253 37.919244 149.291976 -222.658103 3151.637587 -7.009 -7.009 2.637183 0.000000 1.762 n/a n/a
44 3500.00 1271.00 100.000000 1.0000000000000000 1.000000 -1174154.218014 282.228302 37.571740 149.290180 -215.400798 3168.154400 -6.933 -6.933 2.661575 0.000000 1.785 n/a n/a
45 1000.00 1268.00 100.000000 1.0000000000000000 1.000000 -1182845.893418 282.726575 38.116077 149.289280 -227.639453 3140.626378 -7.204 -7.204 2.623565 0.000000 1.796 n/a n/a
45 5000.00 1268.00 100.000000 1.0000000000000000 1.000000 -1169726.012830 281.461516 37.244577 149.289280 -208.110459 3184.671214 -6.826 -6.826 2.684955 0.000000 1.796 n/a n/a
46 1000.00 1265.00 100.000000 1.0000000000000000 1.000000 -1183293.759908 282.435686 38.106655 149.288380 -227.672486 3140.626378 -7.237 -7.237 2.624214 0.000000 1.808 n/a n/a
46 5000.00 1265.00 100.000000 1.0000000000000000 1.000000 -1170173.879320 281.170627 37.235023 149.288380 -208.143493 3184.671214 -6.859 -6.859 2.685644 0.000000 1.808 n/a n/a
47 1000.00 1262.00 100.000000 1.0000000000000000 1.000000 -1183741.623695 282.144232 38.097233 149.287478 -227.705520 3140.626378 -7.271 -7.271 2.624863 0.000000 1.820 n/a n/a
47 5000.00 1262.00 100.000000 1.0000000000000000 1.000000 -1170621.743107 280.879172 37.225469 149.287478 -208.176526 3184.671214 -6.892 -6.892 2.686333 0.000000 1.820 n/a n/a
46 2000.00 1265.00 100.000000 1.0000000000000000 1.000000 -1179978.318917 282.121073 37.881424 149.288380 -222.790238 3151.637587 -7.141 -7.141 2.639816 0.000000 1.808 n/a n/a
48 3500.00 1259.00 100.000000 1.0000000000000000 1.000000 -1175945.678563 281.063611 37.533722 149.286575 -215.532932 3168.154400 -7.065 -7.065 2.664271 0.000000 1.831 n/a n/a
47 2000.00 1262.00 100.000000 1.0000000000000000 1.000000 -1180426.182704 281.829618 37.871969 149.287478 -222.823271 3151.637587 -7.174 -7.174 2.640475 0.000000 1.820 n/a n/a
49 5000.00 1256.00 100.000000 1.0000000000000000 1.000000 -1171517.462557 280.294555 37.206361 149.285671 -208.242593 3184.671214 -6.958 -6.958 2.687712 0.000000 1.843 n/a n/a
48 2000.00 1259.00 100.000000 1.0000000000000000 1.000000 -1180874.043784 281.537595 37.862514 149.286575 -222.856305 3151.637587 -7.208 -7.208 2.641135 0.000000 1.831 n/a n/a
50 3500.00 1253.00 100.000000 1.0000000000000000 1.000000 -1176841.392590 280.477851 37.514713 149.284766 -215.599000 3168.154400 -7.132 -7.132 2.665621 0.000000 1.855 n/a n/a
